,Date,Volume,Open,High,Low,Adj Close
1499,2019-03-25,153076123.0,17.314,17.5453,16.964,17.3613
1498,2019-03-26,110127965.0,17.6293,18.0173,17.6287,17.8513
1497,2019-03-27,131285694.0,17.9167,18.358,17.8789,18.322
1496,2019-03-28,101473764.0,18.4773,18.6887,18.34,18.5747
1495,2019-03-29,89705280.0,18.58,18.6773,18.3,18.6573
1494,2019-04-01,121396949.0,18.8413,19.28,18.7521,19.2787
1493,2019-04-02,81407719.0,19.22,19.296,18.9253,19.0587
1492,2019-04-03,118749691.0,19.1547,19.7447,19.1447,19.454
1491,2019-04-04,355202372.0,17.4593,18.08,17.3727,17.852
1490,2019-04-05,195341002.0,17.9907,18.4067,17.7407,18.3307
1489,2019-04-08,155468922.0,18.5127,18.744,18.0293,18.2133
1488,2019-04-09,88398661.0,18.11,18.3333,17.974,18.154
1487,2019-04-10,105675457.0,18.4493,18.5587,18.1928,18.404
1486,2019-04-11,146719337.0,17.8867,18.0333,17.7067,17.8947
1485,2019-04-12,101030739.0,18.0147,18.13,17.7887,17.8467
1484,2019-04-15,150487275.0,17.9087,17.9253,17.242,17.7587
1483,2019-04-16,108997506.0,17.7167,18.3333,17.648,18.224
1482,2019-04-17,76770127.0,18.3167,18.3193,17.9023,18.082
1481,2019-04-18,87922126.0,18.082,18.3227,17.9833,18.2173
1480,2019-04-22,181525259.0,17.9333,17.9787,17.4987,17.5167
1479,2019-04-23,163640168.0,17.3433,17.7067,17.05,17.5933
1478,2019-04-24,144855843.0,17.59,17.688,17.2,17.244
1477,2019-04-25,327350536.0,17.0,17.2667,16.4047,16.5087
1476,2019-04-26,332267234.0,16.4333,16.4453,15.4087,15.676
1475,2019-04-29,250299175.0,15.724,16.2653,15.478,16.098
1474,2019-04-30,141704404.0,16.1373,16.2807,15.8,15.9127
1473,2019-05-01,160565170.0,15.9233,16.0,15.4333,15.6007
1472,2019-05-02,272389964.0,16.368,16.4753,15.848,16.2733
1471,2019-05-03,355601372.0,16.2573,17.1073,16.2327,17.002
1470,2019-05-06,162509019.0,16.668,17.2233,16.5667,17.0227
1469,2019-05-07,151971074.0,17.12,17.1473,16.34,16.4707
1468,2019-05-08,92646554.0,16.4627,16.7066,16.28,16.3227
1467,2019-05-09,100670680.0,16.1333,16.2453,15.7962,16.132
1466,2019-05-10,105124987.0,15.9833,16.1327,15.7347,15.968
1465,2019-05-13,162521919.0,15.4673,15.498,14.9667,15.134
1464,2019-05-14,108786126.0,15.2867,15.6333,15.2,15.4873
1463,2019-05-15,109439585.0,15.288,15.496,15.0167,15.4633
1462,2019-05-16,112249039.0,15.2993,15.4,15.1,15.222
1461,2019-05-17,266799917.0,14.7973,14.816,13.928,14.0687
1460,2019-05-20,307892846.0,13.52,13.7333,13.0167,13.6907
1459,2019-05-21,270058365.0,13.184,13.8267,13.0693,13.672
1458,2019-05-22,280277710.0,13.2733,13.596,12.7853,12.8487
1457,2019-05-23,398206901.0,12.956,13.2977,12.4147,13.0327
1456,2019-05-24,212048444.0,13.322,13.332,12.5834,12.7087
1455,2019-05-28,154693423.0,12.7467,13.0,12.5233,12.58
1454,2019-05-29,179529510.0,12.4733,12.826,12.336,12.6573
1453,2019-05-30,118897066.0,12.5833,12.817,12.468,12.548
1452,2019-05-31,156100872.0,12.34,12.6614,12.2733,12.344
1451,2019-06-03,195966052.0,12.3673,12.4453,11.7995,11.9313
1450,2019-06-04,207112696.0,12.0733,12.932,11.974,12.9067
1449,2019-06-05,202661299.0,13.2453,13.4186,12.7899,13.106
1448,2019-06-06,303632098.0,13.6293,14.0667,13.4533,13.73
1447,2019-06-07,240052830.0,13.6667,14.0563,13.5666,13.6333
1446,2019-06-10,158775521.0,14.0167,14.4627,13.934,14.192
1445,2019-06-11,174803013.0,14.6096,14.7267,14.2333,14.4733
1444,2019-06-12,227962986.0,14.8633,14.892,13.9333,13.9507
1443,2019-06-13,122523839.0,14.0253,14.3267,13.834,14.2607
1442,2019-06-14,111500974.0,14.0833,14.4433,14.0267,14.328
1441,2019-06-17,184751908.0,14.3653,15.1333,14.2847,15.002
1440,2019-06-18,190736755.0,15.248,15.6493,14.8373,14.9827
